eval rewards,goals,eval successes,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss
0.0,14,0.0,88.22,3816,788,0.14,17,67447,66400,1e-05,0.1197757202386856,0.049235437089810145
0.0,14,0.0,86.24,3818,792,0.16,17,67649,66600,1e-05,0.11347052425146104,0.002001925538352225
0.0,14,0.0,85.35,3820,796,0.17,17,67863,66850,1e-05,0.11133594900369644,0.005438426031032577
0.0,14,0.0,84.99,3824,800,0.18,17,68227,67200,1e-05,0.11227550268173218,0.0022567415788944346
0.0,14,0.0,84.99,3827,804,0.18,17,68627,67600,1e-05,0.10718464583158493,0.0010586965402035276
0.0,14,0.0,84.8,3830,808,0.18,17,68928,67900,1e-05,0.10689615219831466,0.001627288860763656
0.0,14,0.0,83.86,3833,812,0.19,18,69234,68200,1e-05,0.1098048922419548,0.0002004962782302755
0.0,14,0.0,83.13,3836,816,0.2,18,69561,68550,1e-05,0.10663936167955398,0.0016231782850809396
0.0,14,0.0,82.14,3839,820,0.21,18,69862,68850,1e-05,0.11104123502969741,0.001962393852736568
0.0,14,0.0,81.92,4296,824,0.21,16,70164,69150,1e-05,0.10216058522462845,0.004071984048568993
0.0,14,0.0,81.92,4300,828,0.21,16,70564,69550,1e-05,0.10382022947072983,0.002048959760431899
0.0,14,0.0,82.91,4303,832,0.2,16,70964,69950,1e-05,0.10531012207269669,0.003440648033574689
0.0,14,0.0,83.8,4307,836,0.19,16,71364,70350,1e-05,0.08684453651309014,0.011364149926666869
0.0,14,0.0,84.5,4311,840,0.18,16,71764,70750,1e-05,0.10618655323982239,0.0007382148635224439
0.0,14,0.0,83.56,4313,844,0.19,16,71971,70950,1e-05,0.10701952815055847,0.0003482256433198927
0.0,14,0.0,83.56,4317,848,0.19,16,72371,71350,1e-05,0.06940366774797439,0.09738331911619752
0.0,14,0.0,84.27,4321,852,0.18,16,72771,71750,1e-05,0.1037303528189659,0.002594839257362764
0.0,14,0.0,84.27,4325,856,0.18,16,73171,72150,1e-05,0.11402142405509949,0.004393297621863895
0.0,14,0.0,83.4,4328,860,0.19,16,73484,72450,1e-05,0.09870777755975724,0.03653511247248389
0.0,14,0.0,84.39,4332,864,0.18,17,73884,72850,1e-05,0.10984892666339874,0.002668222064676229
0.0,14,0.0,84.89,4336,868,0.17,17,74284,73250,1e-05,0.10737009197473527,0.0007883758650859818
0.0,14,0.0,84.88,4339,872,0.17,17,74605,73600,1e-05,0.10642470002174377,0.0005301784784387565
0.0,14,0.0,84.19,4342,876,0.18,17,74936,73900,1e-05,0.1179201778769493,0.006400808772887103
0.0,14,0.0,84.18,4345,880,0.18,17,75237,74200,1e-05,0.11771878600120544,0.0023951356343604856
0.0,14,0.0,84.91,4348,884,0.17,17,75538,74500,1e-05,0.11951441019773483,0.0021139079399290495
0.0,14,0.0,84.91,4352,888,0.17,17,75938,74900,1e-05,0.11603112280368805,0.007190545588964596
0.0,14,0.0,86.89,4355,892,0.15,17,76338,75300,1e-05,0.12211739242076874,0.0019269327688380144
0.0,14,0.0,88.75,4359,896,0.13,17,76738,75700,1e-05,0.12243783414363861,0.0024408892616338564
