# {"t_start": 1755705826.1284919, "env_id": "Office-new-multiple-v0"} 
r,l,t
1.0,77,15.704116
0.0,2,15.73173
1.0,15,15.741129
0.0,12,15.749598
1.0,13,15.760467
0.0,6,15.772571
1.0,113,15.816795
0.0,5,15.842873
1.0,48,15.85998
0.0,5,15.868466
1.0,118,15.918484
0.0,12,15.924847
1.0,47,15.942224
0.0,50,15.973332
1.0,40,15.986758
0.0,122,16.020412
1.0,28,16.036114
0.0,10,16.045039
1.0,31,16.063666
0.0,2,16.07368
1.0,49,16.093422
0.0,4,16.120615
1.0,73,16.144066
0.0,12,16.157059
0.0,71,16.179621
0.0,5,16.185629
1.0,38,16.198391
0.0,2,16.208623
1.0,44,16.226614
0.0,36,16.252525
0.0,12,16.269217
0.0,40,16.296651
0.0,38,16.314234
0.0,12,16.325362
0.0,25,16.337492
0.0,36,16.369884
0.0,2,16.398119
1.0,112,16.417797
0.0,7,16.446027
0.0,80,16.481434
1.0,25,16.498139
0.0,40,16.509124
1.0,7,16.519955
0.0,7,16.530628
0.0,29,16.567793
0.0,29,16.582088
1.0,42,16.599853
0.0,34,16.612306
1.0,35,16.629349
0.0,33,16.6562
1.0,12,16.667414
0.0,2,16.675766
1.0,44,16.694573
0.0,31,16.721514
0.0,2,16.734196
0.0,2,16.762936
0.0,10,16.772048
0.0,2,16.785136
1.0,14,16.797334
0.0,49,16.815364
0.0,53,16.838574
0.0,9,16.851875
1.0,33,16.871845
0.0,23,16.883745
1.0,43,16.897851
0.0,3,16.910538
0.0,7,16.935778
0.0,15,16.944967
0.0,2,16.972944
1.0,41,16.985994
0.0,37,16.999334
0.0,27,17.01159
0.0,5,17.024553
0.0,54,17.04083
1.0,115,17.093678
0.0,6,17.108959
1.0,55,17.132172
0.0,22,17.148363
0.0,4,17.156994
0.0,4,17.163145
1.0,12,17.174433
0.0,141,17.215552
1.0,57,17.237085
0.0,1,17.243136
0.0,17,17.258934
0.0,22,17.287609
1.0,117,17.340169
0.0,40,17.354578
1.0,35,17.36757
0.0,37,17.384764
1.0,41,17.404232
1.0,50,17.415655
1.0,33,17.434547
0.0,5,17.440468
1.0,61,17.462492
0.0,30,17.475816
1.0,46,17.489692
0.0,43,17.497895
1.0,60,17.517729
1.0,23,17.535369
1.0,39,17.553826
1.0,121,17.576206
1.0,50,17.596197
0.0,3,17.602224
0.0,70,17.645956
1.0,9,17.65614
1.0,38,17.674813
0.0,10,17.687142
0.0,24,17.696512
0.0,4,17.704325
1.0,113,17.754517
1.0,51,17.769015
1.0,18,17.784912
0.0,17,17.797997
1.0,34,17.809942
0.0,34,17.823935
1.0,42,17.843034
0.0,13,17.855356
1.0,12,17.866142
0.0,22,17.879984
1.0,46,17.902243
0.0,10,17.914849
0.0,20,17.943644
0.0,11,17.967304
1.0,10,17.977582
1.0,27,17.987384
0.0,101,18.033303
0.0,52,18.046048
1.0,45,18.064909
0.0,2,18.122323
1.0,7,18.17751
0.0,11,18.243789
0.0,21,18.313414
0.0,3,18.376712
1.0,76,18.499645
0.0,34,18.56518
1.0,44,18.648556
1.0,21,18.700139
1.0,46,18.792265
0.0,11,18.85875
1.0,11,18.904393
1.0,27,18.953803
1.0,110,19.201034
0.0,18,19.256133
1.0,65,19.354252
0.0,17,19.451598
0.0,62,19.593845
0.0,4,19.672501
0.0,5,19.709319
1.0,75,19.759463
0.0,2,19.794
0.0,4,19.816443
0.0,23,19.906163
0.0,6,19.970455
1.0,13,19.997952
0.0,14,20.029825
1.0,55,20.084778
0.0,17,20.105463
1.0,61,20.153883
0.0,2,20.167264
1.0,105,20.283357
0.0,65,20.342944
1.0,35,20.382328
0.0,2,20.398365
1.0,40,20.436807
0.0,42,20.494736
0.0,19,20.524446
0.0,20,20.55
1.0,68,20.589957
0.0,5,20.60845
1.0,59,20.650468
0.0,12,20.673598
1.0,34,20.695947
0.0,13,20.740023
0.0,40,20.769657
0.0,2,20.779333
1.0,33,20.811281
0.0,51,20.866043
1.0,31,20.89668
0.0,2,20.916585
1.0,119,20.995942
0.0,21,21.006973
1.0,50,21.041828
0.0,9,21.058271
1.0,9,21.074839
0.0,78,21.103756
1.0,15,21.120517
0.0,37,21.142574
1.0,76,21.17847
0.0,5,21.19349
1.0,100,21.263694
0.0,4,21.27811
1.0,21,21.294337
0.0,15,21.329842
1.0,62,21.359463
0.0,24,21.369257
0.0,10,21.389639
0.0,16,21.431358
1.0,120,21.500701
0.0,3,21.517113
0.0,2,21.533379
0.0,15,21.550705
0.0,34,21.572268
0.0,31,21.58702
0.0,30,21.626353
1.0,109,21.65558
1.0,89,21.718634
1.0,13,21.729401
1.0,8,21.742636
0.0,26,21.756498
0.0,73,21.808434
1.0,55,21.829648
1.0,51,21.853555
0.0,3,21.865232
1.0,42,21.887251
0.0,34,21.89848
1.0,35,21.917527
0.0,16,21.927531
0.0,58,21.967166
0.0,14,21.984054
1.0,39,21.996077
1.0,38,22.004871
1.0,80,22.031608
0.0,18,22.041529
1.0,27,22.067589
0.0,4,22.074269
1.0,114,22.129271
1.0,16,22.141493
0.0,59,22.163812
0.0,11,22.177239
1.0,17,22.189266
1.0,11,22.198437
1.0,46,22.219129
0.0,5,22.22998
0.0,20,22.262106
0.0,61,22.272152
1.0,9,22.283517
0.0,21,22.295038
1.0,32,22.312505
0.0,28,22.320411
1.0,16,22.330146
0.0,5,22.340594
1.0,42,22.358437
0.0,78,22.389586
1.0,113,22.439893
0.0,24,22.451468
0.0,78,22.498277
0.0,21,22.509539
1.0,94,22.56073
1.0,17,22.567771
1.0,127,22.621942
0.0,11,22.635738
0.0,2,22.664096
0.0,8,22.670585
0.0,2,22.678838
0.0,36,22.708502
1.0,40,22.721711
0.0,28,22.751381
1.0,14,22.760628
0.0,62,22.776397
0.0,2,22.788939
0.0,52,22.804695
0.0,39,22.84585
0.0,13,22.858723
1.0,31,22.877797
0.0,8,22.890854
0.0,53,22.913408
0.0,43,22.930434
1.0,64,22.953643
0.0,14,22.964336
1.0,43,22.98373
0.0,60,22.999506
1.0,77,23.017416
0.0,37,23.033696
1.0,28,23.049904
0.0,2,23.057884
1.0,45,23.076589
1.0,61,23.087871
0.0,76,23.130465
0.0,8,23.136709
1.0,96,23.186247
0.0,3,23.210835
1.0,41,23.23087
0.0,9,23.242081
1.0,44,23.260947
0.0,5,23.273304
1.0,27,23.288856
0.0,8,23.312982
0.0,46,23.347935
0.0,56,23.365138
1.0,42,23.378624
0.0,8,23.403517
0.0,38,23.422595
0.0,22,23.433482
1.0,15,23.442121
0.0,8,23.45419
0.0,48,23.470916
0.0,64,23.505609
1.0,10,23.516328
0.0,4,23.526726
1.0,46,23.548227
1.0,87,23.56307
1.0,65,23.586071
0.0,27,23.601555
1.0,38,23.614038
1.0,96,23.633464
1.0,117,23.679757
0.0,40,23.708058
1.0,14,23.719306
0.0,21,23.73536
0.0,37,23.753588
0.0,18,23.766121
1.0,49,23.785105
0.0,24,23.796637
1.0,15,23.807591
0.0,17,23.814308
1.0,109,23.864525
0.0,11,23.871175
1.0,56,23.893757
0.0,18,23.90076
1.0,51,23.920292
0.0,25,23.933518
1.0,37,23.945934
0.0,42,23.959831
1.0,36,23.977821
0.0,40,23.991491
1.0,50,24.010954
0.0,9,24.021028
0.0,33,24.059162
0.0,25,24.068228
0.0,65,24.110181
0.0,11,24.120678
0.0,80,24.169677
0.0,38,24.181345
0.0,25,24.211496
1.0,16,24.218742
1.0,61,24.241049
0.0,18,24.252571
1.0,48,24.275069
0.0,1,24.280833
0.0,67,24.323643
0.0,73,24.342476
0.0,38,24.362434
0.0,14,24.391289
0.0,37,24.409676
0.0,40,24.423111
0.0,69,24.471437
0.0,87,24.482719
1.0,60,24.504305
0.0,8,24.517442
0.0,82,24.564937
0.0,15,24.578269
1.0,59,24.602711
1.0,27,24.613037
1.0,79,24.638433
0.0,35,24.668876
1.0,16,24.680568
0.0,33,24.711664
1.0,37,24.726013
0.0,11,24.732682
1.0,44,24.750804
0.0,60,24.766787
0.0,47,24.804516
0.0,29,24.835371
0.0,28,24.851688
0.0,15,24.862437
1.0,99,24.919916
0.0,30,24.934109
1.0,20,24.945905
0.0,2,24.95801
1.0,93,25.01216
0.0,8,25.021516
0.0,9,25.046366
0.0,23,25.060085
1.0,64,25.083981
0.0,29,25.097036
1.0,46,25.111087
0.0,54,25.125375
1.0,8,25.134088
1.0,61,25.148413
1.0,9,25.159098
1.0,65,25.177446
1.0,64,25.201274
0.0,17,25.215619
1.0,16,25.228452
0.0,8,25.244536
0.0,6,25.255372
0.0,10,25.263979
1.0,10,25.275073
0.0,19,25.28632
0.0,52,25.330889
0.0,22,25.344994
0.0,86,25.390788
0.0,16,25.400201
1.0,35,25.420738
0.0,30,25.449575
1.0,6,25.460144
0.0,6,25.468453
0.0,5,25.483616
0.0,8,25.490373
0.0,48,25.510319
0.0,24,25.518176
0.0,19,25.547216
0.0,26,25.563197
0.0,36,25.582959
0.0,73,25.603484
0.0,22,25.635825
0.0,7,25.660703
1.0,57,25.681509
0.0,2,25.691476
0.0,8,25.721356
0.0,60,25.73731
1.0,57,25.759962
0.0,19,25.773236
0.0,53,25.815441
0.0,50,25.843243
1.0,71,25.868117
0.0,3,25.893912
1.0,43,25.912858
0.0,35,25.925665
1.0,16,25.937174
0.0,54,25.954957
0.0,66,26.001663
0.0,39,26.016889
0.0,4,26.025505
0.0,16,26.038639
1.0,106,26.089358
0.0,34,26.104831
1.0,11,26.116824
0.0,16,26.128161
0.0,39,26.163427
1.0,83,26.176668
0.0,9,26.189322
0.0,30,26.209237
1.0,45,26.228389
1.0,31,26.236284
0.0,44,26.251623
0.0,12,26.276545
0.0,114,26.332184
0.0,11,26.342835
0.0,3,26.370636
1.0,14,26.381994
1.0,11,26.39326
1.0,20,26.406254
0.0,8,26.42015
0.0,27,26.436467
0.0,51,26.479328
0.0,18,26.494867
1.0,46,26.507151
0.0,17,26.533267
1.0,49,26.546948
0.0,42,26.561697
1.0,55,26.584564
0.0,8,26.611134
0.0,26,26.623864
0.0,6,26.652773
1.0,70,26.677381
0.0,3,26.687453
1.0,50,26.708677
0.0,70,26.746057
1.0,59,26.766916
0.0,11,26.780144
1.0,124,26.834187
0.0,13,26.844943
0.0,6,26.859782
0.0,34,26.889706
1.0,126,26.941507
0.0,93,26.959541
0.0,18,26.990802
0.0,9,27.021102
1.0,11,27.032518
1.0,44,27.040928
0.0,2,27.053183
0.0,8,27.079985
0.0,60,27.103736
0.0,24,27.118754
0.0,95,27.172339
0.0,53,27.203215
1.0,102,27.253069
0.0,33,27.284946
1.0,11,27.29382
0.0,26,27.308978
1.0,16,27.321314
1.0,77,27.336331
0.0,44,27.379175
0.0,56,27.392741
1.0,121,27.449042
1.0,27,27.456445
1.0,118,27.512628
0.0,36,27.525971
1.0,37,27.547094
0.0,15,27.560307
0.0,40,27.57774
0.0,19,27.589482
1.0,7,27.60085
0.0,12,27.630647
0.0,42,27.645872
0.0,83,27.663252
1.0,39,27.6742
0.0,13,27.699902
1.0,57,27.725075
1.0,66,27.746451
1.0,9,27.757241
0.0,14,27.763612
1.0,116,27.817757
0.0,21,27.831591
0.0,68,27.853014
0.0,61,27.873392
0.0,8,27.886196
0.0,11,27.900363
1.0,38,27.921576
0.0,34,27.936065
0.0,20,27.94747
0.0,8,27.953552
1.0,34,27.972337
1.0,33,27.980032
1.0,54,27.999285
0.0,18,28.013969
1.0,30,28.033904
0.0,97,28.071913
0.0,63,28.090854
0.0,23,28.104945
0.0,8,28.11842
0.0,1,28.128885
1.0,112,28.178393
0.0,27,28.185907
1.0,14,28.195421
1.0,26,28.206036
1.0,40,28.225401
0.0,17,28.239188
0.0,46,28.259356
1.0,62,28.278676
0.0,51,28.296788
1.0,22,28.307099
1.0,114,28.358118
0.0,3,28.368248
1.0,10,28.377217
0.0,23,28.39158
0.0,53,28.43667
0.0,3,28.447873
0.0,58,28.468552
0.0,44,28.481112
0.0,22,28.497522
0.0,2,28.52373
1.0,17,28.535243
0.0,24,28.56444
0.0,27,28.594009
0.0,2,28.604749
0.0,1000,28.684986
0.0,13,28.695807
0.0,54,28.720423
0.0,40,28.750425
0.0,7,28.777801
0.0,24,28.803843
1.0,42,28.815659
0.0,2,28.828315
1.0,28,28.844575
1.0,91,28.864417
1.0,64,28.887934
0.0,53,28.901626
0.0,10,28.931587
0.0,10,28.940094
0.0,4,28.948081
0.0,2,28.975009
